,OrganismoCodigo,Organismo_x,Reporta Abril
35,MA002,Asociación de Municipalidades de la Región de Antofagasta,No
158,MA048,Asociación de Municipalidades de Arauco y Curanilahue,No
172,MU028,Municipalidad de Carahue,No
236,MU182,Municipalidad de Ninhue,No
312,MU229,Municipalidad de Puchuncaví,No
326,MU143,Municipalidad de Llay Llay,No
354,MU167,Municipalidad de María Pinto,No
419,MA031,Asociación de Municipios Ciudad Sur,No
429,MA025,Asociación Municipalidades Provincia de Llanquihue Para Manejo Sustentable de Residuos y Gestión Ambiental,No
453,AE008,Superintendencia de Bancos e Instituciones Financieras (SBIF),No
526,AK006,Gendarmería de Chile,No
540,PP030,Partido Ciudadanos,No
553,MU330,Municipalidad de Valdivia,No
560,MA046,Asociación de Municipalidades de la Provincia del Huasco,No
579,MA003,Asociación de Municipalidades Nahuelbuta (AMN),No
580,MA011,Asociación de Municipalidades Territorio de Riego Canal LajaDiguillín,No
638,MU331,Municipalidad de Vallenar,No
643,AC003,Dirección Nacional de Fronteras y Límites del Estado (DIFROL),No
652,AC002,Dirección General de Relaciones Económicas Internacionales (DIRECON),No
662,MU083,Municipalidad de El Carmen,No
668,MA012,Asociación de Municipalidades Paisajes de Conservación para la Biodiversidad de la Región de Los Ríos,No
676,AV001,Ex Consejo Nacional de la Cultura y las Artes (CNCA),No
678,MA043,Asociación de Municipalidades para la Preservación de la Biodiversidad en el Territorio de Nonguén y otros Ecosistemas,No
679,AD012,Defensa Civil de Chile,No
680,MA049,Asociación de Municipalidades del Valle del Maipo,No
681,AR009,Fundación de Comunicación Capacitación y Cultura del Agro (FUCOA),No
682,MU111,Municipalidad de Independencia,No
683,MU335,Municipalidad de Vicuña,No
685,MU307,Municipalidad de Santa María,No
686,MA017,Asociación de Municipalidades Desarrollo Apicultura Turismo y Medio Ambiente Zona de Amortiguación de la Región de Los Lagos,No
687,AD009,Carabineros de Chile,No
688,CM007,Corporación Municipal de Maipú (CODEDUC),No
